run_id,architecture,batch_size,lr,epochs_run,best_val_loss,MAE_test,RMSE_test,R2_test,delta_MAE,delta_R2,bias,pred_range,notes
1,LSTM(64)->Drop(0.2)->FC(32)->FC(1),64,0.001,58,14.383301,5.4848,6.544,0.3713,0.7548,-0.1457,PIRE QUE BASELINE - STOP,,
2,LSTM(64)->Drop(0.3)->FC(32)->FC(1) [4feat],64,0.001,54,22.478079,6.2142,7.2632,0.2256,1.4842,-0.2914,PIRE QUE BASELINE - STOP,,
2,LSTM(64)->Drop(0.3)->FC(32)->FC(1) [4feat],64,0.001,30,35.796165,5.4186,6.5044,0.3789,0.6886,-0.1381,PIRE QUE BASELINE - STOP,,
2,LSTM(64)->Drop(0.3)->FC(32)->FC(1) [4feat],64,0.001,30,35.796165,5.4186,6.5044,0.3789,0.6886,-0.1381,PIRE BASELINE - approche intra-cycle a revoir,,
3,LSTM(64)->Drop(0.2)->FC(32)->FC(1)   [inter-cycle],32,0.001,38,9.616132,3.3927,4.3586,0.7079,-0.1143,0.0009,-0.729,65.71-89.44,R2<0.75 - iterer run#4
4,BiLSTM(64)->Drop(0.3)->FC(64)->FC(32)->FC(1)    [inter-cycle],32,0.001,49,8.302699,3.147,4.0931,0.7424,-0.36,0.0354,-0.6218,69.40-92.36,R2<0.75 - iterer run#5
5,BiLSTM(64)->Drop(0.3)->FC(64)->FC(32)->FC(1)    [11feat],32,0.001,39,9.351654,3.0627,4.0585,0.7467,-0.4443,0.0397,-0.5381,66.76-90.78,R2<0.75 - iterer run#6
6,BiLSTM(64)->Drop(0.2)->FC(32)->FC(1)            [11feat],32,0.001,56,9.375632,3.0048,3.904,0.7656,-0.5022,0.0586,-0.4875,67.36-89.56,Objectif minimum atteint
7,BiLSTM(64)->Drop(0.2)->FC(32)->FC(1)            [11feat w=10],32,0.001,94,9.287278,2.8338,3.5652,0.7875,-0.6732,0.0805,-0.0321,69.24-90.91,Objectif minimum atteint
8,BiLSTM(128)->Drop(0.1)->FC(64)->FC(32)->FC(1)       [11feat w=10],32,0.001,37,6.957403,2.9398,4.0382,0.7273,-0.5672,0.0203,-0.6205,72.40-89.68,R2<0.75 - iterer run#9
9,BiLSTM(64)->Drop(0.2)->FC(32)->FC(1)                [12feat w=10],32,0.001,65,8.399443,2.9734,3.7638,0.7631,-0.5336,0.0561,-0.2199,68.01-90.68,Objectif minimum atteint
